Date,URL,Status Code,Status
2025-06-25 10:41:17,https://oriatec.fr/,200,UP,Certificat valide jusqu'au 2025-08-18 11:06:48
2025-06-25 10:41:17,https://www.google.com,200,UP,Certificat valide jusqu'au 2025-08-25 08:37:20
2025-06-25 10:41:17,https://vm.cplr.fr,200,UP,Certificat valide jusqu'au 2025-08-24 13:28:23
